algorithm,repair_method,mean_sharpe,std_sharpe,mean_return,mean_time,mean_generations,pop_size,mutation_rate,gaussian_stdev,num_elites,max_generations,swarm_size,max_iterations,w,c1,c2
GA,,0.7459852042605746,0.020975504366171113,24195.604336397235,2.4025686740875245,51.0,200.0,0.1,0.1,5.0,50.0,,,,,
GA,,1.039226167376834,0.028277726179825716,36141.533010498315,2.3701648235321047,51.0,200.0,0.01,0.01,1.0,50.0,,,,,
GA,,0.8360168969411526,0.03346091868900473,28637.235061966094,4.722206401824951,101.0,200.0,0.1,0.05,5.0,100.0,,,,,
GA,,0.7803643461048615,0.015709037038688676,31173.014913873583,4.56212363243103,101.0,200.0,0.1,0.1,1.0,100.0,,,,,
GA,,1.059751581301058,0.0025540996836181835,37485.5656354376,2.3657603740692137,51.0,200.0,0.01,0.01,2.0,50.0,,,,,
GA,,0.7502511698929585,0.03843809295853832,28998.594869762368,4.713762617111206,101.0,200.0,0.1,0.1,2.0,100.0,,,,,
GA,,0.783507043855755,0.030005775166123374,26008.77881276328,4.659176254272461,101.0,200.0,0.1,0.1,5.0,100.0,,,,,
GA,,1.0820089118064762,0.014415802825986406,38493.23056176288,2.362230968475342,51.0,200.0,0.01,0.01,5.0,50.0,,,,,
GA,,1.135404189133433,0.011648273449414893,38043.58757852837,4.585108423233033,101.0,200.0,0.01,0.01,1.0,100.0,,,,,
GA,,1.0573208660097866,0.02133742639460047,35862.04440889721,2.3408079147338867,51.0,200.0,0.01,0.05,1.0,50.0,,,,,
GA,,1.0822508279877212,0.01922541711452615,37600.51584775148,2.3185842990875245,51.0,200.0,0.01,0.05,2.0,50.0,,,,,
GA,,1.143879617583832,0.015672917727292988,38115.71132818244,4.626061010360718,101.0,200.0,0.01,0.01,2.0,100.0,,,,,
GA,,1.0947167483447913,0.008536042054172853,37972.66093519652,2.2978139877319337,51.0,200.0,0.01,0.05,5.0,50.0,,,,,
GA,,1.0311647691340866,0.0144098566344952,34701.82701760172,2.4141292572021484,51.0,200.0,0.01,0.1,1.0,50.0,,,,,
GA,,1.1827077154188796,0.010312647133802422,37776.03795995824,4.734544706344605,101.0,200.0,0.01,0.01,5.0,100.0,,,,,
GA,,1.1246823475441037,0.018835317991049035,38083.60504964749,4.631546258926392,101.0,200.0,0.01,0.05,1.0,100.0,,,,,
GA,,1.053087180843781,0.025583830745025064,35449.66863515573,2.3653122425079345,51.0,200.0,0.01,0.1,2.0,50.0,,,,,
GA,,1.1119603376095455,0.0069437037901278606,37482.04327741928,4.642205619812012,101.0,200.0,0.01,0.05,2.0,100.0,,,,,
GA,,1.0755651226232659,0.024839228502343685,37260.78686099857,2.413354825973511,51.0,200.0,0.01,0.1,5.0,50.0,,,,,
GA,,1.151600654956957,0.007216159567736985,37855.97429313687,4.774068164825439,101.0,200.0,0.01,0.05,5.0,100.0,,,,,
GA,,0.9801334674596676,0.017424977458264133,37400.90443605573,2.456236743927002,51.0,200.0,0.05,0.01,1.0,50.0,,,,,
GA,,0.9873034223957505,0.01561764602502715,35897.45238125822,2.3460341930389403,51.0,200.0,0.05,0.01,2.0,50.0,,,,,
GA,,1.0677987222376726,0.01806813560417895,37479.607486720095,4.837984609603882,101.0,200.0,0.01,0.1,1.0,100.0,,,,,
GA,,1.1147700760051897,0.014658634972325502,37713.05139465703,4.727476167678833,101.0,200.0,0.01,0.1,2.0,100.0,,,,,
GA,,1.0257024174724862,0.0227267003085415,37224.84418064228,2.4323921680450438,51.0,200.0,0.05,0.01,5.0,50.0,,,,,
GA,,1.1634139760283098,0.015750129861134412,37707.04483298295,4.780620193481445,101.0,200.0,0.01,0.1,5.0,100.0,,,,,
GA,,0.8633447158846522,0.04488933810950865,29792.214778246613,2.438754177093506,51.0,200.0,0.05,0.05,1.0,50.0,,,,,
GA,,1.0158724964038022,0.01606696857302871,35856.757535528755,4.860908555984497,101.0,200.0,0.05,0.01,1.0,100.0,,,,,
GA,,1.0399214901511908,0.013046175205466169,36789.663930887524,4.783820724487304,101.0,200.0,0.05,0.01,2.0,100.0,,,,,
GA,,0.8924254639692822,0.027100973376031946,31784.327472324065,2.586375617980957,51.0,200.0,0.05,0.05,2.0,50.0,,,,,
GA,,0.8876356089025652,0.02064275146881805,31469.194501057325,2.437150478363037,51.0,200.0,0.05,0.05,5.0,50.0,,,,,
GA,,1.0653034993569404,0.012849738305696629,37837.81189540878,4.763601541519165,101.0,200.0,0.05,0.01,5.0,100.0,,,,,
GA,,0.8131817831570072,0.02396701433897342,32057.75032234385,2.466332530975342,51.0,200.0,0.05,0.1,1.0,50.0,,,,,
