algorithm,repair_method,mean_sharpe,std_sharpe,mean_return,mean_time,mean_generations,pop_size,mutation_rate,PSOussian_stdev,num_elites,max_generations,swarm_size,max_iterations,w,c1,c2
PSO,,1.4838211303516862,0.03436256880608694,484.03020175521095,14.015026617050172,101.0,,,,,,200.0,100.0,0.4,1.5,2.0
PSO,,1.4496456134838922,0.033442126786732536,9942.901615478106,14.958311176300048,101.0,,,,,,200.0,100.0,0.4,1.5,1.5
PSO,,1.158858390585699,0.05116183396543954,80.20848923046621,14.684291553497314,101.0,,,,,,200.0,100.0,0.4,2.0,1.0
PSO,,0.9917870544234605,0.03494946917614068,2335.63661004574,14.797895050048828,101.0,,,,,,200.0,100.0,0.4,2.0,1.5
PSO,,0.8929870439324905,0.030976512429192644,103.95910756379116,13.808242988586425,101.0,,,,,,200.0,100.0,0.7,1.0,1.0
PSO,,1.1028332938839576,0.031199435187961432,134.6352162872054,15.129060411453247,101.0,,,,,,200.0,100.0,0.4,2.0,2.0
PSO,,1.131732701637404,0.024723866526776352,309.90895660942306,14.446356964111327,101.0,,,,,,200.0,100.0,0.7,1.0,1.5
PSO,,0.8961251367061875,0.021177184240483527,13.859354558928558,13.617801189422607,101.0,,,,,,200.0,100.0,0.7,1.0,2.0
PSO,,0.9336593249998029,0.02498681942852559,10.91145854414624,13.71762843132019,101.0,,,,,,200.0,100.0,0.7,1.5,1.0
PSO,,1.124464570940496,0.05176042944093615,1060.2333135726683,14.330168104171753,101.0,,,,,,200.0,100.0,0.7,1.5,1.5
PSO,,1.4838211303516862,0.03436256880608694,484.03020175521095,13.226848554611205,101.0,,,,,,200.0,100.0,0.7,1.5,2.0
PSO,,1.4496456134838922,0.033442126786732536,9942.901615478106,13.696812534332276,101.0,,,,,,200.0,100.0,0.7,2.0,1.0
PSO,,1.158858390585699,0.05116183396543954,80.20848923046621,14.817776775360107,101.0,,,,,,200.0,100.0,0.7,2.0,1.5
PSO,,0.9917870544234605,0.03494946917614068,2335.63661004574,13.297325325012206,101.0,,,,,,200.0,100.0,0.7,2.0,2.0
PSO,,0.8929870439324905,0.030976512429192644,103.95910756379116,13.648219203948974,101.0,,,,,,200.0,100.0,0.9,1.0,1.0
PSO,,1.1028332938839576,0.031199435187961432,134.6352162872054,14.09516077041626,101.0,,,,,,200.0,100.0,0.9,1.0,1.5
PSO,,0.8961251367061875,0.021177184240483527,13.859354558928558,13.462806367874146,101.0,,,,,,200.0,100.0,0.9,1.5,1.0
PSO,,1.131732701637404,0.024723866526776352,309.90895660942306,14.060619974136353,101.0,,,,,,200.0,100.0,0.9,1.0,2.0
PSO,,0.9336593249998029,0.02498681942852559,10.91145854414624,14.333442974090577,101.0,,,,,,200.0,100.0,0.9,1.5,1.5
PSO,,1.039524659991199,0.020114102765431425,2821.179456317785,10.02601237297058,51.0,,,,,,200.0,50.0,0.4,1.0,1.0
PSO,,1.124464570940496,0.05176042944093615,1060.2333135726683,14.660143184661866,101.0,,,,,,200.0,100.0,0.9,1.5,2.0
PSO,,0.8275766782004885,0.037258124571886535,70.3734418342533,9.828577375411987,51.0,,,,,,200.0,50.0,0.4,1.0,1.5
PSO,,1.4838211303516862,0.03436256880608694,484.03020175521095,15.412711143493652,101.0,,,,,,200.0,100.0,0.9,2.0,1.0
PSO,,1.1247504124668333,0.023613090834063936,136.53016501830052,10.383388996124268,51.0,,,,,,200.0,50.0,0.4,1.0,2.0
PSO,,1.4496456134838922,0.033442126786732536,9942.901615478106,14.99970097541809,101.0,,,,,,200.0,100.0,0.9,2.0,1.5
PSO,,1.158858390585699,0.05116183396543954,80.20848923046621,14.672719049453736,101.0,,,,,,200.0,100.0,0.9,2.0,2.0
PSO,,0.9112702781924952,0.01705360784352173,15.073590963979669,10.298754501342774,51.0,,,,,,200.0,50.0,0.4,1.5,1.0
PSO,,1.1540314438468986,0.008334530172707987,315.2759941950512,10.415617895126342,51.0,,,,,,200.0,50.0,0.4,1.5,1.5
PSO,,0.9242771877774686,0.05074711781734907,18.956217447167976,10.697797060012817,51.0,,,,,,200.0,50.0,0.4,1.5,2.0
PSO,,1.039524659991199,0.020114102765431425,2821.179456317785,9.80541696548462,51.0,,,,,,200.0,50.0,0.4,2.0,1.0
PSO,,1.188129078129684,0.020850565110524504,1096.05714248506,10.624736166000366,51.0,,,,,,200.0,50.0,0.4,2.0,1.5
PSO,,0.8275766782004885,0.037258124571886535,70.3734418342533,10.554651069641114,51.0,,,,,,200.0,50.0,0.4,2.0,2.0
