algorithm,quality,run_id,sharpe_ratio,annual_return,runtime,repair_method,mean_sharpe,std_sharpe,mean_return,mean_time,mean_generations,pop_size,mutation_rate,gaussian_stdev,num_elites,max_generations,swarm_size,max_iterations,w,c1,c2
GA,median,17,1.0756219439695993,1611.245505735446,30.346007347106934,normalize,0.7278517444444754,0.0147234060473614,34.20854938420725,48.60415301322937,101.0,200.0,0.05,0.1,5.0,100.0,,,,,
GA,median,18,0.9919565174325379,1963.7602011516828,30.15244197845459,normalize,0.7278517444444754,0.0147234060473614,34.20854938420725,48.60415301322937,101.0,200.0,0.05,0.1,5.0,100.0,,,,,
GA,median,19,0.9053867823510113,1588.5700047328369,29.967754125595093,normalize,0.7278517444444754,0.0147234060473614,34.20854938420725,48.60415301322937,101.0,200.0,0.05,0.1,5.0,100.0,,,,,
GA,median,20,1.0007226669894889,1906.5674598582334,30.55386185646057,normalize,0.7278517444444754,0.0147234060473614,34.20854938420725,48.60415301322937,101.0,200.0,0.05,0.1,5.0,100.0,,,,,
GA,median,21,1.023232177524688,1686.6949989688956,30.20429301261902,normalize,0.7278517444444754,0.0147234060473614,34.20854938420725,48.60415301322937,101.0,200.0,0.05,0.1,5.0,100.0,,,,,
GA,median,22,1.0185068058511766,1735.3859121479363,30.012709379196167,normalize,0.7278517444444754,0.0147234060473614,34.20854938420725,48.60415301322937,101.0,200.0,0.05,0.1,5.0,100.0,,,,,
GA,median,23,0.9723519854210942,1791.1106664721237,30.43638563156128,normalize,0.7278517444444754,0.0147234060473614,34.20854938420725,48.60415301322937,101.0,200.0,0.05,0.1,5.0,100.0,,,,,
GA,median,24,1.0574246284343627,1961.8577455137856,30.68016242980957,normalize,0.7278517444444754,0.0147234060473614,34.20854938420725,48.60415301322937,101.0,200.0,0.05,0.1,5.0,100.0,,,,,
GA,median,25,0.8854572023214158,1511.8696285114643,31.13811492919922,normalize,0.7278517444444754,0.0147234060473614,34.20854938420725,48.60415301322937,101.0,200.0,0.05,0.1,5.0,100.0,,,,,
GA,median,26,0.9832489190242232,1971.305970263949,30.75066113471985,normalize,0.7278517444444754,0.0147234060473614,34.20854938420725,48.60415301322937,101.0,200.0,0.05,0.1,5.0,100.0,,,,,
GA,median,27,1.0282870745300419,1854.1935812040394,30.13678288459778,normalize,0.7278517444444754,0.0147234060473614,34.20854938420725,48.60415301322937,101.0,200.0,0.05,0.1,5.0,100.0,,,,,
GA,median,28,1.0605016193678196,1940.5040539433119,27.56957769393921,normalize,0.7278517444444754,0.0147234060473614,34.20854938420725,48.60415301322937,101.0,200.0,0.05,0.1,5.0,100.0,,,,,
GA,median,29,0.922512501273226,1442.2145398117889,27.41922354698181,normalize,0.7278517444444754,0.0147234060473614,34.20854938420725,48.60415301322937,101.0,200.0,0.05,0.1,5.0,100.0,,,,,
