Company,Weight,Percentage,Sharpe Ratio,Annual Return
Bank of South Carolina Corp. - Common Stock,0.0,0.0,1.2556237624753923,423.02251299945505
"F5 Networks, Inc. - Common Stock",0.0,0.0,1.2556237624753923,423.02251299945505
IRSA Propiedades Comerciales S.A. - American Depository Shares,0.0,0.0,1.2556237624753923,423.02251299945505
Macquarie Global Infrastructure Total Return Fund Inc. Common Stock,0.0,0.0,1.2556237624753923,423.02251299945505
"Mednax, Inc. Common Stock",3.79e-07,3.79e-05,1.2556237624753923,423.02251299945505
Permianville Royalty Trust Trust Units ,0.0,0.0,1.2556237624753923,423.02251299945505
iPathA Series B Bloomberg Grains Subindex Total Return ETN,0.0,0.0,1.2556237624753923,423.02251299945505
Duke Realty Corporation Common Stock,0.091778804,9.177880400000001,1.2556237624753923,423.02251299945505
"DB Gold Double Short ETN due February 15, 2038",4.3439e-05,0.0043439,1.2556237624753923,423.02251299945505
Cognizant Technology Solutions Corporation - Class A Common Stock,0.0,0.0,1.2556237624753923,423.02251299945505
"USANA Health Sciences, Inc. Common Stock",0.0,0.0,1.2556237624753923,423.02251299945505
Nordic American Tankers Limited Common Stock,0.001491584,0.1491584,1.2556237624753923,423.02251299945505
"Jumei International Holding Limited American Depositary Shares, each representing ten Class A ordinary share",0.0,0.0,1.2556237624753923,423.02251299945505
"Cogent Communications Holdings, Inc. - Common Stock",0.0,0.0,1.2556237624753923,423.02251299945505
Mesa Royalty Trust Common Stock,0.0,0.0,1.2556237624753923,423.02251299945505
Urstadt Biddle Properties Inc. Common Stock,0.0,0.0,1.2556237624753923,423.02251299945505
"Royce Value Trust, Inc. Common Stock",0.000688839,0.0688839,1.2556237624753923,423.02251299945505
"Eldorado Resorts, Inc. - Common Stock",0.099817836,9.9817836,1.2556237624753923,423.02251299945505
"AMC Entertainment Holdings, Inc. Class A Common Stock",2.92e-07,2.92e-05,1.2556237624753923,423.02251299945505
"Discovery, Inc. - Series B Common Stock",0.0,0.0,1.2556237624753923,423.02251299945505
Marcus Corporation (The) Common Stock,0.0,0.0,1.2556237624753923,423.02251299945505
Packaging Corporation of America Common Stock,0.0,0.0,1.2556237624753923,423.02251299945505
Quest Diagnostics Incorporated Common Stock,0.000687584,0.0687584,1.2556237624753923,423.02251299945505
Thermo Fisher Scientific Inc Common Stock,0.0,0.0,1.2556237624753923,423.02251299945505
North European Oil Royality Trust Common Stock,0.0,0.0,1.2556237624753923,423.02251299945505
Mobile TeleSystems PJSC,0.0,0.0,1.2556237624753923,423.02251299945505
"Glacier Bancorp, Inc. - Common Stock",0.0,0.0,1.2556237624753923,423.02251299945505
"Bonanza Creek Energy, Inc. Common Stock",0.0,0.0,1.2556237624753923,423.02251299945505
WD-40 Company - Common Stock,0.094658298,9.4658298,1.2556237624753923,423.02251299945505
"Plug Power, Inc. - Common Stock",0.0,0.0,1.2556237624753923,423.02251299945505
Bio-Techne Corp - Common Stock,0.095238813,9.523881300000001,1.2556237624753923,423.02251299945505
Modine Manufacturing Company Common Stock,0.0,0.0,1.2556237624753923,423.02251299945505
"InnerWorkings, Inc. - Common Stock",0.0,0.0,1.2556237624753923,423.02251299945505
Riverview Bancorp Inc - Common Stock,0.0,0.0,1.2556237624753923,423.02251299945505
Vector Group Ltd. Common Stock,0.0,0.0,1.2556237624753923,423.02251299945505
DURECT Corporation - Common Stock,0.0,0.0,1.2556237624753923,423.02251299945505
MSB Financial Corp. - Common Stock,0.0,0.0,1.2556237624753923,423.02251299945505
"Magellan Health, Inc. - Common Stock",0.0,0.0,1.2556237624753923,423.02251299945505
"Seattle Genetics, Inc. - Common Stock",1.1961e-05,0.0011960999999999999,1.2556237624753923,423.02251299945505
BlackRock Multi-Sector Income Trust Common Shares of Beneficial Interest,0.0,0.0,1.2556237624753923,423.02251299945505
Medley Capital Corporation Common Stock,0.0,0.0,1.2556237624753923,423.02251299945505
LKQ Corporation - Common Stock,0.0,0.0,1.2556237624753923,423.02251299945505
Astronics Corporation - Common Stock,0.0,0.0,1.2556237624753923,423.02251299945505
"Stereotaxis, Inc. Common Stock",0.0,0.0,1.2556237624753923,423.02251299945505
"Affiliated Managers Group, Inc. Common Stock",0.0,0.0,1.2556237624753923,423.02251299945505
"Calix, Inc Common Stock",0.0,0.0,1.2556237624753923,423.02251299945505
Central Valley Community Bancorp - Common Stock,0.0,0.0,1.2556237624753923,423.02251299945505
"Smith & Nephew SNATS, Inc. Common Stock",0.0,0.0,1.2556237624753923,423.02251299945505
"Reliv' International, Inc. - Common Stock",7.0462e-05,0.007046200000000001,1.2556237624753923,423.02251299945505
"Dollar Tree, Inc. - Common Stock",9e-09,9e-07,1.2556237624753923,423.02251299945505
Marine Products Corporation Common Stock,0.0,0.0,1.2556237624753923,423.02251299945505
NewMarket Corp Common Stock,0.0,0.0,1.2556237624753923,423.02251299945505
"L Brands, Inc.",0.0,0.0,1.2556237624753923,423.02251299945505
"Creative Realities, Inc. - Common Stock",0.0,0.0,1.2556237624753923,423.02251299945505
"Atossa Therapeutics, Inc. - Common Stock",0.0,0.0,1.2556237624753923,423.02251299945505
Wells Fargo & Company Common Stock,1.0332e-05,0.0010332,1.2556237624753923,423.02251299945505
Teekay Tankers Ltd.,0.0,0.0,1.2556237624753923,423.02251299945505
"Waste Management, Inc. Common Stock",0.09659973,9.659972999999999,1.2556237624753923,423.02251299945505
"Western Asset Municipal High Income Fund, Inc. Common Stock",0.0,0.0,1.2556237624753923,423.02251299945505
"Parsley Energy, Inc. Class A Common Stock",0.000342829,0.0342829,1.2556237624753923,423.02251299945505
CrossAmerica Partners LP Common Units representing limited partner interests,0.0,0.0,1.2556237624753923,423.02251299945505
Oaktree Acquisition Corp. Class A Ordinary Shares,2.4859e-05,0.0024859,1.2556237624753923,423.02251299945505
Bank Nova Scotia Halifax Pfd 3 Ordinary Shares,0.0,0.0,1.2556237624753923,423.02251299945505
Blackrock Limited Duration Income Trust,1.6866e-05,0.0016866000000000001,1.2556237624753923,423.02251299945505
Wayfair Inc. Class A Common Stock,0.076152061,7.615206099999999,1.2556237624753923,423.02251299945505
IDT Corporation Class B Common Stock,0.0,0.0,1.2556237624753923,423.02251299945505
Affimed N.V. - Common Stock,0.0,0.0,1.2556237624753923,423.02251299945505
"Urban One, Inc.  - Class D Common Stock",0.0,0.0,1.2556237624753923,423.02251299945505
Kansas City Southern Common Stock,0.003215527,0.3215527,1.2556237624753923,423.02251299945505
"Synacor, Inc. - Common Stock",0.0,0.0,1.2556237624753923,423.02251299945505
Fomento Economico Mexicano S.A.B. de C.V. Common Stock,0.0,0.0,1.2556237624753923,423.02251299945505
"Ottawa Bancorp, Inc. - Common Stock",0.00082317,0.082317,1.2556237624753923,423.02251299945505
"Arena Pharmaceuticals, Inc. - Common Stock",0.0,0.0,1.2556237624753923,423.02251299945505
"SiNtx Technologies, Inc. - Common Stock",0.0,0.0,1.2556237624753923,423.02251299945505
LATAM Airlines Group S.A.,0.0,0.0,1.2556237624753923,423.02251299945505
Morgan Stanley Common Stock,9.07e-07,9.07e-05,1.2556237624753923,423.02251299945505
Apache Corporation Common Stock,0.000976106,0.0976106,1.2556237624753923,423.02251299945505
"Wynn Resorts, Limited - Common Stock",0.000360611,0.0360611,1.2556237624753923,423.02251299945505
StoneCastle Financial Corp - Common Stock,0.0,0.0,1.2556237624753923,423.02251299945505
"AcelRx Pharmaceuticals, Inc. - Common Stock",0.000597155,0.059715500000000005,1.2556237624753923,423.02251299945505
"AgroFresh Solutions, Inc. - Common Stock",2.804e-06,0.00028040000000000004,1.2556237624753923,423.02251299945505
The Joint Corp. - Common Stock,3.0717e-05,0.0030716999999999997,1.2556237624753923,423.02251299945505
"C.H. Robinson Worldwide, Inc. - Common Stock",0.0,0.0,1.2556237624753923,423.02251299945505
Pebblebrook Hotel Trust Common Shares of Beneficial Interest,2.8478e-05,0.0028478,1.2556237624753923,423.02251299945505
Herc Holdings Inc. Common Stock ,0.0,0.0,1.2556237624753923,423.02251299945505
"Peoples Bancorp of North Carolina, Inc. - Common Stock",0.0,0.0,1.2556237624753923,423.02251299945505
Gol Linhas Aereas Inteligentes S.A. Sponsored ADR representing 2 Pfd Shares,1.5e-08,1.4999999999999998e-06,1.2556237624753923,423.02251299945505
"Rubius Therapeutics, Inc. - Common Stock",0.0,0.0,1.2556237624753923,423.02251299945505
